"","n","err","type"
"1",40,84.6042867814484,"Glasso"
"2",40,29.6947040741422,"MB"
"3",40,36.1881720363071,"Hybrid MB"
"4",40,49.5509869736011,"CLIME"
"5",40,214.147144838253,"ACLIME"
"6",40,23.3217548521773,"GreedyAndPrune"
"7",48,112.469200918779,"Glasso"
"8",48,41.8739527239036,"MB"
"9",48,48.5322464148254,"Hybrid MB"
"10",48,62.4768784487797,"CLIME"
"11",48,262.041323654853,"ACLIME"
"12",48,32.7467689185539,"GreedyAndPrune"
"13",56,138.08313217018,"Glasso"
"14",56,47.5609963661843,"MB"
"15",56,55.4734672915591,"Hybrid MB"
"16",56,73.8991381011274,"CLIME"
"17",56,309.265785907202,"ACLIME"
"18",56,37.2580682066625,"GreedyAndPrune"
"19",64,167.055899324455,"Glasso"
"20",64,53.3837758283245,"MB"
"21",64,63.2217979666691,"Hybrid MB"
"22",64,88.2225228888084,"CLIME"
"23",64,357.109742302429,"ACLIME"
"24",64,40.4792784412936,"GreedyAndPrune"
"25",72,186.98712656735,"Glasso"
"26",72,57.2410462325276,"MB"
"27",72,71.0217796909527,"Hybrid MB"
"28",72,98.4555562154829,"CLIME"
"29",72,404.894579143013,"ACLIME"
"30",72,43.9213742450232,"GreedyAndPrune"
"31",80,217.023720491278,"Glasso"
"32",80,63.8099682612384,"MB"
"33",80,76.9683822777653,"Hybrid MB"
"34",80,110.832764749004,"CLIME"
"35",80,452.739005237966,"ACLIME"
"36",80,47.3397550110463,"GreedyAndPrune"
