"","n","m","type"
"1",89,300,"Glasso"
"2",89,75,"MB"
"3",89,75,"Hybrid.MB"
"4",89,300,"ACLIME"
"5",89,100,"CLIME"
"6",89,100,"GreedyAndPrune"
"7",120,325,"Glasso"
"8",120,75,"MB"
"9",120,100,"Hybrid.MB"
"10",120,300,"ACLIME"
"11",120,100,"CLIME"
"12",120,100,"GreedyAndPrune"
"13",147,325,"Glasso"
"14",147,75,"MB"
"15",147,100,"Hybrid.MB"
"16",147,300,"ACLIME"
"17",147,125,"CLIME"
"18",147,100,"GreedyAndPrune"
"19",178,350,"Glasso"
"20",178,75,"MB"
"21",178,100,"Hybrid.MB"
"22",178,300,"ACLIME"
"23",178,150,"CLIME"
"24",178,100,"GreedyAndPrune"
"25",209,350,"Glasso"
"26",209,75,"MB"
"27",209,100,"Hybrid.MB"
"28",209,300,"ACLIME"
"29",209,150,"CLIME"
"30",209,100,"GreedyAndPrune"
"31",240,375,"Glasso"
"32",240,75,"MB"
"33",240,100,"Hybrid.MB"
"34",240,300,"ACLIME"
"35",240,175,"CLIME"
"36",240,100,"GreedyAndPrune"
"37",267,375,"Glasso"
"38",267,75,"MB"
"39",267,100,"Hybrid.MB"
"40",267,300,"ACLIME"
"41",267,175,"CLIME"
"42",267,100,"GreedyAndPrune"
"43",298,375,"Glasso"
"44",298,75,"MB"
"45",298,125,"Hybrid.MB"
"46",298,300,"ACLIME"
"47",298,200,"CLIME"
"48",298,125,"GreedyAndPrune"
